Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,18.2,FastTapIn,2.799998,0.02099228,0.2902884, ,0
1,18.22,FastTapIn,2.819998,0.0447177,1.186271, ,0
1,18.24,FastTapIn,2.839998,0.004645043,-2.003633, ,0
1,18.26,FastTapIn,2.859998,0.02787401,1.161449, ,0
1,18.28,FastTapIn,2.879998,0.008201585,-0.9836214, ,0
1,18.3,FastTapIn,2.899998,0.01736819,0.4583305, ,0
1,18.32,FastTapIn,2.919998,0.01721512,-0.007653702, ,0
1,18.34,FastTapIn,2.939998,0.008665637,-0.4274741, ,0
1,18.36,FastTapIn,2.959998,0.02785363,0.9593998, ,0
1,18.38,FastTapIn,2.979998,0.004637707,-1.160796, ,0
1,18.4,FastTapIn,2.999998,0.01864511,0.7003703, ,0
1,18.42,FastTapIn,3.019998,0.01250492,-0.3070098, ,0
1,18.44,FastTapIn,3.039998,0.03556959,1.153234, ,0
1,18.46,FastTapIn,3.059998,0.0198215,-0.7874046, ,0
1,18.48,FastTapIn,3.079998,0.03267476,0.6426632, ,0
1,18.5,FastTapIn,3.099998,0.0114482,-1.061328, ,0
1,18.52,FastTapIn,3.119998,0.02386964,0.6210717, ,0
1,18.54,FastTapIn,3.139998,0.03403195,0.5081156, ,0
1,18.56,FastTapIn,3.159998,0.01747631,-0.8277822, ,0
1,18.58,FastTapIn,3.179998,0.01815481,0.03392501, ,0
1,18.6,FastTapIn,3.199998,0.002915199,-0.7619804, ,0
1,18.62,FastTapIn,3.219998,0.01798104,0.7532922, ,0
1,18.64,FastTapIn,3.239998,0.003931408,-0.7024818, ,0
1,18.66,FastTapIn,3.259998,0.004835016,0.04518039, ,0
1,18.68,FastTapIn,3.279998,0.02705753,1.111126, ,0
1,18.7,FastTapIn,3.299998,0.01872706,-0.4165233, ,0
1,18.72,FastTapIn,3.319998,0.01975668,0.051481, ,0
1,18.74,FastTapIn,3.339998,0.008537604,-0.5609539, ,0
1,18.76,FastTapIn,3.359998,0.009732567,0.05974816, ,0
1,18.78,FastTapIn,3.379997,0.007659665,-0.1036451, ,0
1,18.8,FastTapIn,3.399997,0.01623762,0.4288979, ,0
1,18.82,FastTapIn,3.419997,0.006671142,-0.478324, ,0
1,18.84,FastTapIn,3.439997,0.01421737,0.3773112, ,0
1,18.86,FastTapIn,3.459997,0.03465607,1.021935, ,0
1,18.88,FastTapIn,3.479997,0.01025913,-1.219847, ,0
1,18.9,FastTapIn,3.499997,0.02368414,0.6712506, ,0
1,18.92,FastTapIn,3.519997,0.03057025,0.3443054, ,0
1,18.94,FastTapIn,3.539997,0.01539855,-0.7585849, ,0
1,18.96,FastTapIn,3.559997,0.03400499,0.9303219, ,0
1,18.98,FastTapIn,3.579997,0.05677226,1.138364, ,0
1,19.0,FastTapIn,3.599997,0.1371707,4.01992, ,0
1,19.02,FastTapIn,3.619997,0.09420508,-2.148279, ,0
2,25.16,FastTapIn,3.459997,0.01847679,0.3700795, ,0
2,25.18,FastTapIn,3.479997,0.0418322,1.167771, ,0
2,25.2,FastTapIn,3.499997,0.02972049,-0.6055855, ,0
2,25.22,FastTapIn,3.519997,0.09865433,3.446692, ,0
2,25.24,FastTapIn,3.539997,0.08477657,-0.6938882, ,0
2,25.28,FastTapIn,3.579997,0.09517367,-3.812522, ,0
2,25.3,FastTapIn,3.599997,0.1044921,0.4659232, ,0
2,25.34,FastTapIn,3.639997,0.1304304,-7.536808, ,0
2,25.38,FastTapIn,3.679997,0.1374977,-5.793665, ,0
3,30.02,FastTapIn,2.919998,0.01751438,0.3686763, ,0
3,30.04,FastTapIn,2.939998,0.02598923,0.4237426, ,0
3,30.06,FastTapIn,2.959998,0.01220396,-0.6892636, ,0
3,30.08,FastTapIn,2.979998,0.02669711,0.7246575, ,0
3,30.1,FastTapIn,2.999998,0.01660336,-0.5046874, ,0
3,30.12,FastTapIn,3.019998,0.02885878,0.6127713, ,0
3,30.14,FastTapIn,3.039998,0.01259863,-0.8130076, ,0
3,30.16,FastTapIn,3.059998,0.01856999,0.2985681, ,0
3,30.18,FastTapIn,3.079998,0.00616295,-0.6203521, ,0
3,30.2,FastTapIn,3.099998,0.01450575,0.4171399, ,0
3,30.22,FastTapIn,3.119998,0.02738388,0.6439068, ,0
3,30.24,FastTapIn,3.139998,0.007755713,-0.9814085, ,0
3,30.26,FastTapIn,3.159998,0.0187186,0.5481443, ,0
3,30.28,FastTapIn,3.179998,0.0260464,0.3663901, ,0
3,30.3,FastTapIn,3.199998,0.02917443,0.1564017, ,0
3,30.32,FastTapIn,3.219998,0.01903297,-0.5070732, ,0
3,30.34,FastTapIn,3.239998,0.01015839,-0.4437293, ,0
3,30.36,FastTapIn,3.259998,0.01996911,0.490536, ,0
3,30.38,FastTapIn,3.279998,0.004579244,-0.7694931, ,0
3,30.4,FastTapIn,3.299998,0.01800808,0.671442, ,0
3,30.42,FastTapIn,3.319998,0.003588242,-0.7209921, ,0
3,30.44,FastTapIn,3.339998,0.01254764,0.4479699, ,0
3,30.46,FastTapIn,3.359998,0.009557934,-0.1494853, ,0
3,30.48,FastTapIn,3.379997,0.01287996,0.1661011, ,0
3,30.5,FastTapIn,3.399997,0.07101382,2.906693, ,0
3,30.52,FastTapIn,3.419997,0.08060376,0.479497, ,0
4,35.84,FastTapIn,3.119998,0.01407621,-0.3112501, ,0
4,35.86,FastTapIn,3.139998,0.03214699,0.9035391, ,0
4,35.88,FastTapIn,3.159998,0.02233234,-0.4907323, ,0
4,35.9,FastTapIn,3.179998,0.03551029,0.6588975, ,0
4,35.92,FastTapIn,3.199998,0.01383914,-1.083557, ,0
4,35.94,FastTapIn,3.219998,0.01791998,0.2040418, ,0
4,35.96,FastTapIn,3.239998,0.006583639,-0.566817, ,0
4,35.98,FastTapIn,3.259998,0.01772883,0.5572596, ,0
4,36.0,FastTapIn,3.279998,0.01135451,-0.3187159, ,0
4,36.02,FastTapIn,3.299998,0.007131716,-0.2111399, ,0
4,36.04,FastTapIn,3.319998,0.02981884,1.134356, ,0
